00ZH               20131030                                                                                   
0601ZHA1N       20140101000925100000005000 0100007820000843   
0601ZHA1N       20140101000930100000005000 0100007910000848   
0601ZHA1N       20140101000935100000005000 0100008000000853   
0601ZHA1N       20140101000940100000005000 0100008090000858   
0601ZHA1N       20140101000945100000005000 0100008180000863   
0601ZHA1N       20140101000950100000005000 0100008280000869   
0601ZHA1N       20140101000955100000005000 0100008370000874   
0601ZHA1N       20140101000960100000005000 0100008480000881   
0601ZHA1N       20140101000965100000005000 0100008570000886   
0601ZHA1N       20140101000970100000005000 0100008670000892   
0601ZHA1N       20140101000975100000005000 0100008780000898   
0601ZHA1N       20140101000980100000005000 0100008870000903   
0601ZHA1N       20140101000985100000005000 0100008970000908   
0601ZHA1N       20140101000990100000005000 0100009070000914   
0601ZHA1N       20140101000995100000005000 0100009170000919   
0601ZHA1N       20140101001000100000005000 0100009260000924   
0601ZHA1N       20140101001005100000005000 0100009380000931   
0601ZHA1N       20140101001010100000005000 0100009490000937   
0601ZHA1N       20140101001015100000005000 0100009600000943   
0601ZHA1N       20140101001020100000005000 0100009710000950   
0601ZHA1N       20140101001025100000005000 0100009810000955   
0601ZHA1N       20140101001030100000005000 0100009920000961   
0601ZHA1N       20140101001035100000005000 0100010030000967   
0601ZHA1N       20140101001040100000005000 0100010130000972   
0601ZHA1N       20140101001045100000005000 0100010250000979   
0601ZHA1N       20140101001050100000005000 0100010360000984   
0601ZHA1N       20140101001055100000005000 0100010470000990   
0601ZHA1N       20140101001060100000005000 0100010570000995   
0601ZHA1N       20140101001065100000005000 0100010690001001   
0601ZHA1N       20140101001070100000005000 0100010800001007   
