00BS               20151102                                                                                   
0601BSA1N       20160101000820100000010000 0100000000001325   
0601BSA1N       20160101000830100000010000 0100000000001334   
0601BSA1N       20160101000840100000010000 0100000000001343   
0601BSA1N       20160101000850100000010000 0100000000001354   
0601BSA1N       20160101000860100000010000 0100000000001365   
0601BSA1N       20160101000870100000010000 0100000000001378   
0601BSA1N       20160101000880100000010000 0100000000001389   
0601BSA1N       20160101000890100000010000 0100000000001402   
0601BSA1N       20160101000900100000010000 0100000000001412   
0601BSA1N       20160101000910100000010000 0100000000001424   
0601BSA1N       20160101000920100000010000 0100000000001435   
0601BSA1N       20160101000930100000010000 0100000000001445   
0601BSA1N       20160101000940100000010000 0100000000001457   
0601BSA1N       20160101000950100000010000 0100000000001467   
0601BSA1N       20160101000960100000010000 0100000000001479   
0601BSA1N       20160101000970100000010000 0100000000001488   
0601BSA1N       20160101000980100000010000 0100000000001500   
0601BSA1N       20160101000990100000010000 0100000000001509   
0601BSA1N       20160101001000100000050000 0100000000001537   
0601BSA1N       20160101001050100000050000 0100000000001583   
0601BSA1N       20160101001100100000050000 0100000000001623   
0601BSA1N       20160101001150100000050000 0100000000001662   
0601BSA1N       20160101001200100000050000 0100000000001704   
0601BSA1N       20160101001250100000050000 0100000000001744   
0601BSA1N       20160101001300100000050000 0100000000001783   
0601BSA1N       20160101001350100000050000 0100000000001819   
0601BSA1N       20160101001400100000050000 0100000000001851   
0601BSA1N       20160101001450100000050000 0100000000001884   
0601BSA1N       20160101001500100000050000 0100000000001919   
0601BSA1N       20160101001550100000050000 0100000000001952   
0601BSA1N       20160101001600100000050000 0100000000001983   
0601BSA1N       20160101001650100000050000 0100000000002012   
0601BSA1N       20160101001700100000050000 0100000000002039   
0601BSA1N       20160101001750100000050000 0100000000002065   
0601BSA1N       20160101001800100000050000 0100000000002089   
0601BSA1N       20160101001850100000050000 0100000000002116   
0601BSA1N       20160101001900100000050000 0100000000002142   
0601BSA1N       20160101001950100000050000 0100000000002168   
0601BSA1N       20160101002000100000050000 0100000000002192   
0601BSA1N       20160101002050100000050000 0100000000002215   
0601BSA1N       20160101002100100000050000 0100000000002237   
0601BSA1N       20160101002150100000050000 0100000000002258   
0601BSA1N       20160101002200100000050000 0100000000002282   
0601BSA1N       20160101002250100000050000 0100000000002308   
0601BSA1N       20160101002300100000050000 0100000000002334   
0601BSA1N       20160101002350100000050000 0100000000002358   
0601BSA1N       20160101002400100000050000 0100000000002381   
0601BSA1N       20160101002450100000050000 0100000000002404   
