00GE               20171120                                                                                   
0601GEA0N       20180101003235005000010000 0000000000003116   
0601GEA0N       20180101003245005000010000 0000000000003119   
0601GEA0N       20180101003255005000010000 0000000000003121   
0601GEA0N       20180101003265005000010000 0000000000003124   
0601GEA0N       20180101003275005000010000 0000000000003126   
0601GEA0N       20180101003285005000010000 0000000000003129   
0601GEA0N       20180101003295005000010000 0000000000003131   
0601GEA0N       20180101003305005000010000 0000000000003134   
0601GEA0N       20180101003315005000010000 0000000000003136   
0601GEA0N       20180101003325005000010000 0000000000003139   
0601GEA0N       20180101003335005000010000 0000000000003141   
0601GEA0N       20180101003345005000010000 0000000000003144   
0601GEA0N       20180101003355005000010000 0000000000003146   
0601GEA0N       20180101003365005000010000 0000000000003149   
0601GEA0N       20180101003375005000010000 0000000000003151   
0601GEA0N       20180101003385005000010000 0000000000003154   
0601GEA0N       20180101003395005000010000 0000000000003156   
0601GEA0N       20180101003405005000010000 0000000000003158   
0601GEA0N       20180101003415005000010000 0000000000003161   
0601GEA0N       20180101003425005000010000 0000000000003163   
0601GEA0N       20180101003435005000010000 0000000000003165   
0601GEA0N       20180101003445005000010000 0000000000003168   
0601GEA0N       20180101003455005000010000 0000000000003170   
0601GEA0N       20180101003465005000010000 0000000000003172   
0601GEA0N       20180101003475005000010000 0000000000003175   
0601GEA0N       20180101003485005000010000 0000000000003177   
0601GEA0N       20180101003495005000010000 0000000000003179   
0601GEA0N       20180101003505005000010000 0000000000003181   
0601GEA0N       20180101003515005000010000 0000000000003183   
0601GEA0N       20180101003525005000010000 0000000000003186   
0601GEA0N       20180101003535005000010000 0000000000003188   
0601GEA0N       20180101003545005000010000 0000000000003190   
0601GEA0N       20180101003555005000010000 0000000000003192   
0601GEA0N       20180101003565005000010000 0000000000003195   
0601GEA0N       20180101003575005000010000 0000000000003197   
0601GEA0N       20180101003585005000010000 0000000000003199   
0601GEA0N       20180101003595005000010000 0000000000003201   
0601GEA0N       20180101003605005000010000 0000000000003203   
0601GEA0N       20180101003615005000010000 0000000000003205   
0601GEA0N       20180101003625005000010000 0000000000003207   
0601GEA0N       20180101003635005000010000 0000000000003209   
0601GEA0N       20180101003645005000010000 0000000000003211   
0601GEA0N       20180101003655005000010000 0000000000003214   
0601GEA0N       20180101003665005000010000 0000000000003215   
0601GEA0N       20180101003675005000010000 0000000000003218   
0601GEA0N       20180101003685005000010000 0000000000003220   
0601GEA0N       20180101003695005000010000 0000000000003222   
0601GEA0N       20180101003705005000010000 0000000000003224   
0601GEA0N       20180101003715005000010000 0000000000003226   
0601GEA0N       20180101003725005000010000 0000000000003228   
0601GEA0N       20180101003735005000010000 0000000000003230   
0601GEA0N       20180101003745005000010000 0000000000003232   
0601GEA0N       20180101003755005000010000 0000000000003234   
0601GEA0N       20180101003765005000010000 0000000000003236   
0601GEA0N       20180101003775005000010000 0000000000003238   
0601GEA0N       20180101003785005000010000 0000000000003240   
0601GEA0N       20180101003795005000010000 0000000000003242   
0601GEA0N       20180101003805005000010000 0000000000003245   
0601GEA0N       20180101003815005000010000 0000000000003247   
