00OW               20161205                                                                                   
0601OWA0N       20170101018500100000500000 0000405550002163   
0601OWA0N       20170101019000100000500000 0000416460002163   
0601OWA0N       20170101019500100000500000 0000427390002164   
0601OWA1N       20170101000000100000040000 0100000030000000   
0601OWA1N       20170101000040100000005000 0100000030000071   
0601OWA1N       20170101000045100000005000 0100000030000063   
0601OWA1N       20170101000050100000005000 0100000030000057   
0601OWA1N       20170101000055100000005000 0100000030000052   
0601OWA1N       20170101000060100000005000 0100000030000048   
0601OWA1N       20170101000065100000005000 0100000030000044   
0601OWA1N       20170101000070100000005000 0100000030000041   
0601OWA1N       20170101000075100000005000 0100000030000039   
0601OWA1N       20170101000080100000005000 0100000030000036   
0601OWA1N       20170101000085100000005000 0100000030000034   
0601OWA1N       20170101000090100000005000 0100000030000032   
0601OWA1N       20170101000095100000005000 0100000030000031   
0601OWA1N       20170101000100100000005000 0100000030000029   
0601OWA1N       20170101000105100000005000 0100000030000028   
0601OWA1N       20170101000110100000005000 0100000030000027   
0601OWA1N       20170101000115100000005000 0100000030000026   
0601OWA1N       20170101000120100000005000 0100000030000024   
0601OWA1N       20170101000125100000005000 0100000030000024   
0601OWA1N       20170101000130100000005000 0100000030000023   
0601OWA1N       20170101000135100000005000 0100000030000022   
0601OWA1N       20170101000140100000005000 0100000030000021   
0601OWA1N       20170101000145100000005000 0100000030000020   
0601OWA1N       20170101000150100000005000 0100000030000020   
0601OWA1N       20170101000155100000005000 0100000030000019   
0601OWA1N       20170101000160100000005000 0100000030000018   
0601OWA1N       20170101000165100000005000 0100000030000018   
0601OWA1N       20170101000170100000005000 0100000030000017   
0601OWA1N       20170101000175100000005000 0100000030000017   
0601OWA1N       20170101000180100000005000 0100000030000016   
0601OWA1N       20170101000185100000005000 0100000030000016   
0601OWA1N       20170101000190100000005000 0100000030000016   
0601OWA1N       20170101000195100000005000 0100000030000015   
0601OWA1N       20170101000200100000005000 0100000030000015   
0601OWA1N       20170101000205100000005000 0100000030000014   
0601OWA1N       20170101000210100000005000 0100000030000014   
0601OWA1N       20170101000215100000005000 0100000030000014   
0601OWA1N       20170101000220100000005000 0100000030000013   
0601OWA1N       20170101000225100000005000 0100000030000013   
0601OWA1N       20170101000230100000005000 0100000030000013   
0601OWA1N       20170101000235100000005000 0100000030000013   
0601OWA1N       20170101000240100000005000 0100000030000012   
0601OWA1N       20170101000245100000005000 0100000030000012   
0601OWA1N       20170101000250100000005000 0100000030000012   
0601OWA1N       20170101000255100000005000 0100000030000012   
0601OWA1N       20170101000260100000005000 0100000030000011   
0601OWA1N       20170101000265100000005000 0100000030000011   
0601OWA1N       20170101000270100000005000 0100000090000033   
0601OWA1N       20170101000275100000005000 0100000150000054   
0601OWA1N       20170101000280100000005000 0100000200000071   
0601OWA1N       20170101000285100000005000 0100000260000090   
0601OWA1N       20170101000290100000005000 0100000320000109   
0601OWA1N       20170101000295100000005000 0100000390000131   
0601OWA1N       20170101000300100000005000 0100000460000152   
0601OWA1N       20170101000305100000005000 0100000520000169   
0601OWA1N       20170101000310100000005000 0100000580000186   
0601OWA1N       20170101000315100000005000 0100000650000205   
0601OWA1N       20170101000320100000005000 0100000710000220   
0601OWA1N       20170101000325100000005000 0100000780000238   
0601OWA1N       20170101000330100000005000 0100000840000253   
0601OWA1N       20170101000335100000005000 0100000900000267   
0601OWA1N       20170101000340100000005000 0100000960000280   
0601OWA1N       20170101000345100000005000 0100001020000294   
0601OWA1N       20170101000350100000005000 0100001080000306   
0601OWA1N       20170101000355100000005000 0100001150000322   
0601OWA1N       20170101000360100000005000 0100001210000334   
0601OWA1N       20170101000365100000005000 0100001280000348   
0601OWA1N       20170101000370100000005000 0100001340000360   
0601OWA1N       20170101000375100000005000 0100001400000371   
0601OWA1N       20170101000380100000005000 0100001460000382   
0601OWA1N       20170101000385100000005000 0100001530000395   
0601OWA1N       20170101000390100000005000 0100001590000405   
0601OWA1N       20170101000395100000005000 0100001650000415   
0601OWA1N       20170101000400100000005000 0100001710000425   
0601OWA1N       20170101000405100000005000 0100001770000434   
0601OWA1N       20170101000410100000005000 0100001830000444   
0601OWA1N       20170101000415100000005000 0100001910000457   
0601OWA1N       20170101000420100000005000 0100001970000466   
0601OWA1N       20170101000425100000005000 0100002030000475   
0601OWA1N       20170101000430100000005000 0100002090000483   
0601OWA1N       20170101000435100000005000 0100002160000494   
0601OWA1N       20170101000440100000005000 0100002230000504   
0601OWA1N       20170101000445100000005000 0100002300000514   
0601OWA1N       20170101000450100000005000 0100002370000524   
0601OWA1N       20170101000455100000005000 0100002440000533   
0601OWA1N       20170101000460100000005000 0100002510000543   
0601OWA1N       20170101000465100000005000 0100002580000552   
0601OWA1N       20170101000470100000005000 0100002640000559   
0601OWA1N       20170101000475100000005000 0100002720000570   
0601OWA1N       20170101000480100000005000 0100002790000578   
0601OWA1N       20170101000485100000005000 0100002850000585   
0601OWA1N       20170101000490100000005000 0100002920000593   
0601OWA1N       20170101000495100000005000 0100003000000603   
0601OWA1N       20170101000500100000005000 0100003070000611   
0601OWA1N       20170101000505100000005000 0100003130000617   
0601OWA1N       20170101000510100000005000 0100003200000624   
0601OWA1N       20170101000515100000005000 0100003280000634   
0601OWA1N       20170101000520100000005000 0100003350000641   
0601OWA1N       20170101000525100000005000 0100003410000646   
0601OWA1N       20170101000530100000005000 0100003480000654   
0601OWA1N       20170101000535100000005000 0100003560000662   
0601OWA1N       20170101000540100000005000 0100003630000669   
0601OWA1N       20170101000545100000005000 0100003700000676   
0601OWA1N       20170101000550100000005000 0100003780000684   
0601OWA1N       20170101000555100000005000 0100003860000692   
0601OWA1N       20170101000560100000005000 0100003940000700   
0601OWA1N       20170101000565100000005000 0100004010000707   
0601OWA1N       20170101000570100000005000 0100004090000714   
0601OWA1N       20170101000575100000005000 0100004160000720   
0601OWA1N       20170101000580100000005000 0100004220000724   
0601OWA1N       20170101000585100000005000 0100004310000734   
0601OWA1N       20170101000590100000005000 0100004370000738   
0601OWA1N       20170101000595100000005000 0100004440000743   
0601OWA1N       20170101000600100000005000 0100004510000749   
0601OWA1N       20170101000605100000005000 0100004590000756   
0601OWA1N       20170101000610100000005000 0100004660000761   
0601OWA1N       20170101000615100000005000 0100004720000764   
0601OWA1N       20170101000620100000005000 0100004790000769   
0601OWA1N       20170101000625100000005000 0100004860000775   
0601OWA1N       20170101000630100000005000 0100004940000781   
0601OWA1N       20170101000635100000005000 0100005010000786   
0601OWA1N       20170101000640100000005000 0100005080000791   
0601OWA1N       20170101000645100000005000 0100005140000794   
0601OWA1N       20170101000650100000005000 0100005220000800   
0601OWA1N       20170101000655100000005000 0100005290000805   
0601OWA1N       20170101000660100000005000 0100005360000809   
0601OWA1N       20170101000665100000005000 0100005430000813   
0601OWA1N       20170101000670100000005000 0100005490000816   
0601OWA1N       20170101000675100000005000 0100005570000822   
0601OWA1N       20170101000680100000005000 0100005640000826   
0601OWA1N       20170101000685100000005000 0100005710000831   
0601OWA1N       20170101000690100000005000 0100005780000835   
0601OWA1N       20170101000695100000005000 0100005850000839   
0601OWA1N       20170101000700100000005000 0100005930000844   
0601OWA1N       20170101000705100000005000 0100006000000848   
0601OWA1N       20170101000710100000005000 0100006070000852   
0601OWA1N       20170101000715100000005000 0100006140000856   
0601OWA1N       20170101000720100000005000 0100006220000861   
0601OWA1N       20170101000725100000005000 0100006290000865   
0601OWA1N       20170101000730100000005000 0100006360000868   
0601OWA1N       20170101000735100000005000 0100006430000872   
0601OWA1N       20170101000740100000005000 0100006500000875   
0601OWA1N       20170101000745100000005000 0100006580000880   
0601OWA1N       20170101000750100000005000 0100006650000884   
0601OWA1N       20170101000755100000005000 0100006720000887   
0601OWA1N       20170101000760100000005000 0100006790000890   
0601OWA1N       20170101000765100000005000 0100006870000895   
0601OWA1N       20170101000770100000005000 0100006940000898   
0601OWA1N       20170101000775100000005000 0100007010000902   
0601OWA1N       20170101000780100000005000 0100007080000905   
0601OWA1N       20170101000785100000005000 0100007150000908   
0601OWA1N       20170101000790100000005000 0100007230000912   
0601OWA1N       20170101000795100000005000 0100007300000915   
0601OWA1N       20170101000800100000005000 0100007360000917   
0601OWA1N       20170101000805100000005000 0100007430000920   
0601OWA1N       20170101000810100000005000 0100007510000924   
0601OWA1N       20170101000815100000005000 0100007580000927   
0601OWA1N       20170101000820100000005000 0100007650000930   
0601OWA1N       20170101000825100000005000 0100007720000933   
0601OWA1N       20170101000830100000005000 0100007790000936   
0601OWA1N       20170101000835100000005000 0100007870000940   
0601OWA1N       20170101000840100000005000 0100007940000942   
0601OWA1N       20170101000845100000005000 0100008010000945   
0601OWA1N       20170101000850100000005000 0100008100000950   
0601OWA1N       20170101000855100000005000 0100008180000954   
0601OWA1N       20170101000860100000005000 0100008270000959   
0601OWA1N       20170101000865100000005000 0100008350000963   
0601OWA1N       20170101000870100000005000 0100008430000966   
0601OWA1N       20170101000875100000005000 0100008510000970   
0601OWA1N       20170101000880100000005000 0100008600000975   
0601OWA1N       20170101000885100000005000 0100008680000978   
0601OWA1N       20170101000890100000005000 0100008760000982   
0601OWA1N       20170101000895100000005000 0100008850000986   
0601OWA1N       20170101000900100000005000 0100008930000989   
0601OWA1N       20170101000905100000005000 0100009020000994   
0601OWA1N       20170101000910100000005000 0100009100000997   
0601OWA1N       20170101000915100000005000 0100009190001002   
0601OWA1N       20170101000920100000005000 0100009270001005   
0601OWA1N       20170101000925100000005000 0100009370001010   
0601OWA1N       20170101000930100000005000 0100009450001013   
0601OWA1N       20170101000935100000005000 0100009530001017   
0601OWA1N       20170101000940100000005000 0100009620001021   
0601OWA1N       20170101000945100000005000 0100009700001024   
0601OWA1N       20170101000950100000005000 0100009790001028   
0601OWA1N       20170101000955100000005000 0100009880001032   
0601OWA1N       20170101000960100000005000 0100009960001035   
0601OWA1N       20170101000965100000005000 0100010040001038   
0601OWA1N       20170101000970100000005000 0100010130001042   
0601OWA1N       20170101000975100000005000 0100010230001047   
0601OWA1N       20170101000980100000005000 0100010310001049   
0601OWA1N       20170101000985100000005000 0100010390001052   
0601OWA1N       20170101000990100000005000 0100010480001056   
0601OWA1N       20170101000995100000005000 0100010570001060   
0601OWA1N       20170101001000100000005000 0100010650001062   
0601OWA1N       20170101001005100000005000 0100010740001066   
0601OWA1N       20170101001010100000005000 0100010820001069   
0601OWA1N       20170101001015100000005000 0100010900001071   
0601OWA1N       20170101001020100000005000 0100011000001076   
0601OWA1N       20170101001025100000005000 0100011080001078   
0601OWA1N       20170101001030100000005000 0100011170001082   
0601OWA1N       20170101001035100000005000 0100011250001084   
0601OWA1N       20170101001040100000005000 0100011340001088   
0601OWA1N       20170101001045100000005000 0100011430001091   
0601OWA1N       20170101001050100000005000 0100011510001094   
0601OWA1N       20170101001055100000005000 0100011590001096   
