00VD               20170904                                                                                   
0601VDA0N       20180101004950100000050000 0000000000003637   
0601VDA0N       20180101005000100000050000 0000000000003645   
0601VDA0N       20180101005050100000050000 0000000000003651   
0601VDA0N       20180101005100100000050000 0000000000003657   
0601VDA0N       20180101005150100000050000 0000000000003663   
0601VDA0N       20180101005200100000050000 0000000000003671   
0601VDA0N       20180101005250100000050000 0000000000003676   
0601VDA0N       20180101005300100000050000 0000000000003682   
0601VDA0N       20180101005350100000050000 0000000000003688   
0601VDA0N       20180101005400100000050000 0000000000003694   
0601VDA0N       20180101005450100000050000 0000000000003699   
0601VDA0N       20180101005500100000050000 0000000000003705   
0601VDA0N       20180101005550100000050000 0000000000003711   
0601VDA0N       20180101005600100000050000 0000000000003716   
0601VDA0N       20180101005650100000050000 0000000000003722   
0601VDA0N       20180101005700100000050000 0000000000003727   
0601VDA0N       20180101005750100000050000 0000000000003731   
0601VDA0N       20180101005800100000050000 0000000000003737   
0601VDA0N       20180101005850100000050000 0000000000003742   
0601VDA0N       20180101005900100000050000 0000000000003747   
0601VDA0N       20180101005950100000050000 0000000000003751   
0601VDA0N       20180101006000100000050000 0000000000003756   
0601VDA0N       20180101006050100000050000 0000000000003761   
0601VDA0N       20180101006100100000050000 0000000000003765   
0601VDA0N       20180101006150100000050000 0000000000003770   
0601VDA0N       20180101006200100000050000 0000000000003775   
0601VDA0N       20180101006250100000050000 0000000000003779   
0601VDA0N       20180101006300100000050000 0000000000003784   
0601VDA0N       20180101006350100000050000 0000000000003787   
0601VDA0N       20180101006400100000050000 0000000000003792   
0601VDA0N       20180101006450100000050000 0000000000003796   
0601VDA0N       20180101006500100000050000 0000000000003800   
0601VDA0N       20180101006550100000050000 0000000000003804   
0601VDA0N       20180101006600100000050000 0000000000003807   
0601VDA0N       20180101006650100000050000 0000000000003812   
0601VDA0N       20180101006700100000050000 0000000000003815   
0601VDA0N       20180101006750100000050000 0000000000003818   
0601VDA0N       20180101006800100000050000 0000000000003823   
0601VDA0N       20180101006850100000050000 0000000000003826   
0601VDA0N       20180101006900100000050000 0000000000003829   
0601VDA0N       20180101006950100000050000 0000000000003833   
0601VDA0N       20180101007000100000050000 0000000000003837   
0601VDA0N       20180101007050100000050000 0000000000003840   
0601VDA0N       20180101007100100000050000 0000000000003844   
0601VDA0N       20180101007150100000050000 0000000000003847   
