00SG               20161130                                                                                   
0601SGA0N       20170101001925100000005000 0000000000002248   
0601SGA0N       20170101001930100000005000 0000000000002250   
0601SGA0N       20170101001935100000005000 0000000000002253   
0601SGA0N       20170101001940100000005000 0000000000002255   
0601SGA0N       20170101001945100000005000 0000000000002257   
0601SGA0N       20170101001950100000005000 0000000000002260   
0601SGA0N       20170101001955100000005000 0000000000002262   
0601SGA0N       20170101001960100000005000 0000000000002264   
0601SGA0N       20170101001965100000005000 0000000000002268   
0601SGA0N       20170101001970100000005000 0000000000002269   
0601SGA0N       20170101001975100000005000 0000000000002271   
0601SGA0N       20170101001980100000005000 0000000000002274   
0601SGA0N       20170101001985100000005000 0000000000002276   
0601SGA0N       20170101001990100000005000 0000000000002278   
0601SGA0N       20170101001995100000005000 0000000000002281   
0601SGA0N       20170101002000100000005000 0000000000002283   
0601SGA0N       20170101002005100000005000 0000000000002285   
0601SGA0N       20170101002010100000005000 0000000000002288   
0601SGA0N       20170101002015100000005000 0000000000002290   
0601SGA0N       20170101002020100000005000 0000000000002292   
0601SGA0N       20170101002025100000005000 0000000000002295   
0601SGA0N       20170101002030100000005000 0000000000002296   
0601SGA0N       20170101002035100000005000 0000000000002298   
0601SGA0N       20170101002040100000005000 0000000000002301   
0601SGA0N       20170101002045100000005000 0000000000002303   
0601SGA0N       20170101002050100000005000 0000000000002305   
0601SGA0N       20170101002055100000005000 0000000000002308   
0601SGA0N       20170101002060100000005000 0000000000002309   
0601SGA0N       20170101002065100000005000 0000000000002311   
0601SGA0N       20170101002070100000005000 0000000000002314   
0601SGA0N       20170101002075100000005000 0000000000002316   
0601SGA0N       20170101002080100000005000 0000000000002317   
0601SGA0N       20170101002085100000005000 0000000000002320   
0601SGA0N       20170101002090100000005000 0000000000002322   
0601SGA0N       20170101002095100000005000 0000000000002324   
0601SGA0N       20170101002100100000005000 0000000000002327   
0601SGA0N       20170101002105100000005000 0000000000002328   
0601SGA0N       20170101002110100000005000 0000000000002330   
0601SGA0N       20170101002115100000005000 0000000000002333   
0601SGA0N       20170101002120100000005000 0000000000002334   
0601SGA0N       20170101002125100000005000 0000000000002336   
0601SGA0N       20170101002130100000005000 0000000000002339   
0601SGA0N       20170101002135100000005000 0000000000002340   
0601SGA0N       20170101002140100000005000 0000000000002342   
0601SGA0N       20170101002145100000005000 0000000000002345   
0601SGA0N       20170101002150100000005000 0000000000002346   
0601SGA0N       20170101002155100000005000 0000000000002348   
0601SGA0N       20170101002160100000005000 0000000000002350   
0601SGA0N       20170101002165100000005000 0000000000002352   
0601SGA0N       20170101002170100000005000 0000000000002353   
0601SGA0N       20170101002175100000005000 0000000000002356   
