00GE               20161120                                                                                   
0601GEA0N       20170101003345005000010000 0000000000003146   
0601GEA0N       20170101003355005000010000 0000000000003149   
0601GEA0N       20170101003365005000010000 0000000000003151   
0601GEA0N       20170101003375005000010000 0000000000003154   
0601GEA0N       20170101003385005000010000 0000000000003156   
0601GEA0N       20170101003395005000010000 0000000000003159   
0601GEA0N       20170101003405005000010000 0000000000003161   
0601GEA0N       20170101003415005000010000 0000000000003163   
0601GEA0N       20170101003425005000010000 0000000000003166   
0601GEA0N       20170101003435005000010000 0000000000003168   
0601GEA0N       20170101003445005000010000 0000000000003170   
0601GEA0N       20170101003455005000010000 0000000000003173   
0601GEA0N       20170101003465005000010000 0000000000003175   
0601GEA0N       20170101003475005000010000 0000000000003177   
0601GEA0N       20170101003485005000010000 0000000000003179   
0601GEA0N       20170101003495005000010000 0000000000003181   
0601GEA0N       20170101003505005000010000 0000000000003184   
0601GEA0N       20170101003515005000010000 0000000000003186   
0601GEA0N       20170101003525005000010000 0000000000003188   
0601GEA0N       20170101003535005000010000 0000000000003190   
0601GEA0N       20170101003545005000010000 0000000000003193   
0601GEA0N       20170101003555005000010000 0000000000003195   
0601GEA0N       20170101003565005000010000 0000000000003197   
0601GEA0N       20170101003575005000010000 0000000000003199   
0601GEA0N       20170101003585005000010000 0000000000003201   
0601GEA0N       20170101003595005000010000 0000000000003203   
0601GEA0N       20170101003605005000010000 0000000000003206   
0601GEA0N       20170101003615005000010000 0000000000003207   
0601GEA0N       20170101003625005000010000 0000000000003210   
0601GEA0N       20170101003635005000010000 0000000000003212   
0601GEA0N       20170101003645005000010000 0000000000003214   
0601GEA0N       20170101003655005000010000 0000000000003216   
0601GEA0N       20170101003665005000010000 0000000000003218   
0601GEA0N       20170101003675005000010000 0000000000003220   
0601GEA0N       20170101003685005000010000 0000000000003222   
0601GEA0N       20170101003695005000010000 0000000000003224   
0601GEA0N       20170101003705005000010000 0000000000003226   
0601GEA0N       20170101003715005000010000 0000000000003228   
0601GEA0N       20170101003725005000010000 0000000000003230   
0601GEA0N       20170101003735005000010000 0000000000003232   
0601GEA0N       20170101003745005000010000 0000000000003234   
0601GEA0N       20170101003755005000010000 0000000000003236   
0601GEA0N       20170101003765005000010000 0000000000003238   
0601GEA0N       20170101003775005000010000 0000000000003241   
0601GEA0N       20170101003785005000010000 0000000000003243   
0601GEA0N       20170101003795005000010000 0000000000003245   
0601GEA0N       20170101003805005000010000 0000000000003247   
0601GEA0N       20170101003815005000010000 0000000000003249   
