00AR               20131210                                                                                   
0601ARA1N       20140101000140100000005000 0100000030000021   
0601ARA1N       20140101000145100000005000 0100000030000020   
0601ARA1N       20140101000150100000005000 0100000030000020   
0601ARA1N       20140101000155100000005000 0100000030000019   
0601ARA1N       20140101000160100000005000 0100000030000018   
0601ARA1N       20140101000165100000005000 0100000030000018   
0601ARA1N       20140101000170100000005000 0100000030000017   
0601ARA1N       20140101000175100000005000 0100000030000017   
0601ARA1N       20140101000180100000005000 0100000030000016   
0601ARA1N       20140101000185100000005000 0100000030000016   
0601ARA1N       20140101000190100000005000 0100000030000016   
0601ARA1N       20140101000195100000005000 0100000030000015   
0601ARA1N       20140101000200100000005000 0100000030000015   
0601ARA1N       20140101000205100000005000 0100000030000014   
0601ARA1N       20140101000210100000005000 0100000040000019   
0601ARA1N       20140101000215100000005000 0100000060000028   
0601ARA1N       20140101000220100000005000 0100000090000040   
0601ARA1N       20140101000225100000005000 0100000120000053   
0601ARA1N       20140101000230100000005000 0100000160000069   
0601ARA1N       20140101000235100000005000 0100000200000084   
0601ARA1N       20140101000240100000005000 0100000250000103   
0601ARA1N       20140101000245100000005000 0100000300000121   
0601ARA1N       20140101000250100000005000 0100000340000135   
0601ARA1N       20140101000255100000005000 0100000390000151   
0601ARA1N       20140101000260100000005000 0100000430000164   
0601ARA1N       20140101000265100000005000 0100000480000179   
0601ARA1N       20140101000270100000005000 0100000530000194   
0601ARA1N       20140101000275100000005000 0100000580000209   
0601ARA1N       20140101000280100000005000 0100000640000227   
0601ARA1N       20140101000285100000005000 0100000690000240   
0601ARA1N       20140101000290100000005000 0100000750000256   
0601ARA1N       20140101000295100000005000 0100000810000272   
0601ARA1N       20140101000300100000005000 0100000860000284   
0601ARA1N       20140101000305100000005000 0100000940000306   
0601ARA1N       20140101000310100000005000 0100001000000320   
0601ARA1N       20140101000315100000005000 0100001050000331   
0601ARA1N       20140101000320100000005000 0100001110000344   
0601ARA1N       20140101000325100000005000 0100001170000357   
0601ARA1N       20140101000330100000005000 0100001230000370   
0601ARA1N       20140101000335100000005000 0100001290000382   
0601ARA1N       20140101000340100000005000 0100001360000397   
0601ARA1N       20140101000345100000005000 0100001420000409   
0601ARA1N       20140101000350100000005000 0100001480000420   
0601ARA1N       20140101000355100000005000 0100001540000431   
0601ARA1N       20140101000360100000005000 0100001590000439   
0601ARA1N       20140101000365100000005000 0100001650000449   
0601ARA1N       20140101000370100000005000 0100001710000459   
0601ARA1N       20140101000375100000005000 0100001770000469   
0601ARA1N       20140101000380100000005000 0100001830000478   
0601ARA1N       20140101000385100000005000 0100001910000493   
0601ARA1N       20140101000390100000005000 0100001980000504   
0601ARA1N       20140101000395100000005000 0100002050000516   
0601ARA1N       20140101000400100000005000 0100002120000527   
0601ARA1N       20140101000405100000005000 0100002190000537   
0601ARA1N       20140101000410100000005000 0100002260000548   
0601ARA1N       20140101000415100000005000 0100002330000558   
0601ARA1N       20140101000420100000005000 0100002400000568   
0601ARA1N       20140101000425100000005000 0100002470000578   
0601ARA1N       20140101000430100000005000 0100002540000587   
0601ARA1N       20140101000435100000005000 0100002610000597   
0601ARA1N       20140101000440100000005000 0100002680000606   
0601ARA1N       20140101000445100000005000 0100002760000617   
0601ARA1N       20140101000450100000005000 0100002830000625   
0601ARA1N       20140101000455100000005000 0100002900000634   
0601ARA1N       20140101000460100000005000 0100002970000642   
0601ARA1N       20140101000465100000005000 0100003040000650   
0601ARA1N       20140101000470100000005000 0100003110000658   
0601ARA1N       20140101000475100000005000 0100003200000670   
0601ARA1N       20140101000480100000005000 0100003270000678   
0601ARA1N       20140101000485100000005000 0100003340000685   
0601ARA1N       20140101000490100000005000 0100003410000692   
0601ARA1N       20140101000495100000005000 0100003490000702   
0601ARA1N       20140101000500100000005000 0100003560000708   
0601ARA1N       20140101000505100000005000 0100003630000715   
0601ARA1N       20140101000510100000005000 0100003700000722   
0601ARA1N       20140101000515100000005000 0100003770000729   
0601ARA1N       20140101000520100000005000 0100003850000737   
0601ARA1N       20140101000525100000005000 0100003920000743   
0601ARA1N       20140101000530100000005000 0100004000000751   
0601ARA1N       20140101000535100000005000 0100004080000759   
0601ARA1N       20140101000540100000005000 0100004160000767   
0601ARA1N       20140101000545100000005000 0100004250000776   
0601ARA1N       20140101000550100000005000 0100004330000784   
0601ARA1N       20140101000555100000005000 0100004420000793   
0601ARA1N       20140101000560100000005000 0100004500000800   
0601ARA1N       20140101000565100000005000 0100004600000811   
0601ARA1N       20140101000570100000005000 0100004690000819   
0601ARA1N       20140101000575100000005000 0100004770000826   
0601ARA1N       20140101000580100000005000 0100004860000834   
0601ARA1N       20140101000585100000005000 0100004940000841   
0601ARA1N       20140101000590100000005000 0100005040000851   
0601ARA1N       20140101000595100000005000 0100005130000859   
0601ARA1N       20140101000600100000005000 0100005210000865   
0601ARA1N       20140101000605100000005000 0100005300000872   
0601ARA1N       20140101000610100000005000 0100005400000882   
0601ARA1N       20140101000615100000005000 0100005480000887   
0601ARA1N       20140101000620100000005000 0100005570000895   
0601ARA1N       20140101000625100000005000 0100005650000900   
0601ARA1N       20140101000630100000005000 0100005740000908   
0601ARA1N       20140101000635100000005000 0100005840000916   
0601ARA1N       20140101000640100000005000 0100005930000923   
0601ARA1N       20140101000645100000005000 0100006020000930   
0601ARA1N       20140101000650100000005000 0100006110000936   
0601ARA1N       20140101000655100000005000 0100006220000946   
0601ARA1N       20140101000660100000005000 0100006310000952   
0601ARA1N       20140101000665100000005000 0100006400000959   
0601ARA1N       20140101000670100000005000 0100006490000965   
0601ARA1N       20140101000675100000005000 0100006590000973   
0601ARA1N       20140101000680100000005000 0100006700000982   
0601ARA1N       20140101000685100000005000 0100006790000988   
0601ARA1N       20140101000690100000005000 0100006880000994   
0601ARA1N       20140101000695100000005000 0100006970000999   
0601ARA1N       20140101000700100000005000 0100007060001005   
0601ARA1N       20140101000705100000005000 0100007170001013   
0601ARA1N       20140101000710100000005000 0100007260001019   
0601ARA1N       20140101000715100000005000 0100007360001026   
0601ARA1N       20140101000720100000005000 0100007450001031   
0601ARA1N       20140101000725100000005000 0100007560001039   
0601ARA1N       20140101000730100000005000 0100007650001044   
0601ARA1N       20140101000735100000005000 0100007740001049   
0601ARA1N       20140101000740100000005000 0100007830001055   
0601ARA1N       20140101000745100000005000 0100007930001061   
0601ARA1N       20140101000750100000005000 0100008040001068   
0601ARA1N       20140101000755100000005000 0100008130001073   
0601ARA1N       20140101000760100000005000 0100008220001078   
0601ARA1N       20140101000765100000005000 0100008320001084   
0601ARA1N       20140101000770100000005000 0100008420001090   
0601ARA1N       20140101000775100000005000 0100008520001096   
0601ARA1N       20140101000780100000005000 0100008610001100   
0601ARA1N       20140101000785100000005000 0100008700001105   
0601ARA1N       20140101000790100000005000 0100008800001110   
0601ARA1N       20140101000795100000005000 0100008900001116   
0601ARA1N       20140101000800100000005000 0100008990001120   
0601ARA1N       20140101000805100000005000 0100009090001126   
0601ARA1N       20140101000810100000005000 0100009180001130   
0601ARA1N       20140101000815100000005000 0100009270001134   
0601ARA1N       20140101000820100000005000 0100009380001140   
0601ARA1N       20140101000825100000005000 0100009480001146   
0601ARA1N       20140101000830100000005000 0100009570001150   
0601ARA1N       20140101000835100000005000 0100009670001155   
0601ARA1N       20140101000840100000005000 0100009780001161   
0601ARA1N       20140101000845100000005000 0100009880001166   
0601ARA1N       20140101000850100000005000 0100009990001172   
0601ARA1N       20140101000855100000005000 0100010090001177   
0601ARA1N       20140101000860100000005000 0100010200001183   
0601ARA1N       20140101000865100000005000 0100010330001191   
0601ARA1N       20140101000870100000005000 0100010430001195   
0601ARA1N       20140101000875100000005000 0100010540001201   
0601ARA1N       20140101000880100000005000 0100010650001207   
0601ARA1N       20140101000885100000005000 0100010780001215   
0601ARA1N       20140101000890100000005000 0100010890001220   
0601ARA1N       20140101000895100000005000 0100010990001225   
0601ARA1N       20140101000900100000005000 0100011100001230   
0601ARA1N       20140101000905100000005000 0100011210001235   
0601ARA1N       20140101000910100000005000 0100011340001243   
0601ARA1N       20140101000915100000005000 0100011450001248   
0601ARA1N       20140101000920100000005000 0100011560001253   
0601ARA1N       20140101000925100000005000 0100011670001258   
0601ARA1N       20140101000930100000005000 0100011770001262   
0601ARA1N       20140101000935100000005000 0100011900001269   
0601ARA1N       20140101000940100000005000 0100012010001274   
0601ARA1N       20140101000945100000005000 0100012110001278   
0601ARA1N       20140101000950100000005000 0100012220001283   
0601ARA1N       20140101000955100000005000 0100012350001290   
0601ARA1N       20140101000960100000005000 0100012460001295   
0601ARA1N       20140101000965100000005000 0100012570001299   
0601ARA1N       20140101000970100000005000 0100012680001304   
0601ARA1N       20140101000975100000005000 0100012790001308   
0601ARA1N       20140101000980100000005000 0100012910001314   
0601ARA1N       20140101000985100000005000 0100013020001318   
0601ARA1N       20140101000990100000005000 0100013140001324   
0601ARA1N       20140101000995100000005000 0100013240001327   
0601ARA1N       20140101001000100000005000 0100013370001334   
0601ARA1N       20140101001005100000005000 0100013480001338   
0601ARA1N       20140101001010100000005000 0100013590001342   
0601ARA1N       20140101001015100000005000 0100013710001347   
0601ARA1N       20140101001020100000005000 0100013820001352   
0601ARA1N       20140101001025100000005000 0100013940001357   
0601ARA1N       20140101001030100000005000 0100014060001362   
0601ARA1N       20140101001035100000005000 0100014160001365   
0601ARA1N       20140101001040100000005000 0100014270001369   
0601ARA1N       20140101001045100000005000 0100014390001374   
0601ARA1N       20140101001050100000005000 0100014510001379   
0601ARA1N       20140101001055100000005000 0100014620001383   
0601ARA1N       20140101001060100000005000 0100014730001386   
0601ARA1N       20140101001065100000005000 0100014860001392   
0601ARA1N       20140101001070100000005000 0100014970001396   
0601ARA1N       20140101001075100000005000 0100015090001400   
0601ARA1N       20140101001080100000005000 0100015210001405   
0601ARA1N       20140101001085100000005000 0100015320001409   
0601ARA1N       20140101001090100000005000 0100015430001412   
0601ARA1N       20140101001095100000005000 0100015560001418   
0601ARA1N       20140101001100100000005000 0100015670001421   
0601ARA1N       20140101001105100000005000 0100015780001425   
0601ARA1N       20140101001110100000005000 0100015910001430   
0601ARA1N       20140101001115100000005000 0100016020001434   
0601ARA1N       20140101001120100000005000 0100016130001437   
0601ARA1N       20140101001125100000005000 0100016260001442   
0601ARA1N       20140101001130100000005000 0100016370001445   
0601ARA1N       20140101001135100000005000 0100016490001450   
0601ARA1N       20140101001140100000005000 0100016620001455   
0601ARA1N       20140101001145100000005000 0100016730001458   
0601ARA1N       20140101001150100000005000 0100016840001461   
0601ARA1N       20140101001155100000005000 0100016980001467   
0601ARA1N       20140101001160100000005000 0100017100001471   
0601ARA1N       20140101001165100000005000 0100017220001475   
0601ARA1N       20140101001170100000005000 0100017370001481   
0601ARA1N       20140101001175100000005000 0100017480001485   
0601ARA1N       20140101001180100000005000 0100017600001488   
0601ARA1N       20140101001185100000005000 0100017750001495   
0601ARA1N       20140101001190100000005000 0100017870001499   
0601ARA1N       20140101001195100000005000 0100017980001501   
0601ARA1N       20140101001200100000005000 0100018130001508   
0601ARA1N       20140101001205100000005000 0100018250001511   
0601ARA1N       20140101001210100000005000 0100018370001515   
0601ARA1N       20140101001215100000005000 0100018510001520   
0601ARA1N       20140101001220100000005000 0100018630001524   
0601ARA1N       20140101001225100000005000 0100018750001527   
0601ARA1N       20140101001230100000005000 0100018890001533   
0601ARA1N       20140101001235100000005000 0100019010001536   
0601ARA1N       20140101001240100000005000 0100019130001540   
0601ARA1N       20140101001245100000005000 0100019270001545   
0601ARA1N       20140101001250100000005000 0100019400001549   
0601ARA1N       20140101001255100000005000 0100019510001551   
0601ARA1N       20140101001260100000005000 0100019660001557   
0601ARA1N       20140101001265100000005000 0100019780001561   
0601ARA1N       20140101001270100000005000 0100019900001564   
0601ARA1N       20140101001275100000005000 0100020040001569   
0601ARA1N       20140101001280100000005000 0100020160001572   
0601ARA1N       20140101001285100000005000 0100020280001575   
0601ARA1N       20140101001290100000005000 0100020430001581   
0601ARA1N       20140101001295100000005000 0100020550001584   
0601ARA1N       20140101001300100000005000 0100020670001587   
0601ARA1N       20140101001305100000005000 0100020820001592   
0601ARA1N       20140101001310100000005000 0100020940001595   
0601ARA1N       20140101001315100000005000 0100021060001598   
0601ARA1N       20140101001320100000005000 0100021210001604   
0601ARA1N       20140101001325100000005000 0100021330001607   
0601ARA1N       20140101001330100000005000 0100021450001610   
0601ARA1N       20140101001335100000005000 0100021600001615   
0601ARA1N       20140101001340100000005000 0100021720001618   
0601ARA1N       20140101001345100000005000 0100021850001622   
0601ARA1N       20140101001350100000005000 0100021990001626   
0601ARA1N       20140101001355100000005000 0100022120001629   
0601ARA1N       20140101001360100000005000 0100022240001632   
0601ARA1N       20140101001365100000005000 0100022390001637   
0601ARA1N       20140101001370100000005000 0100022510001640   
0601ARA1N       20140101001375100000005000 0100022630001643   
0601ARA1N       20140101001380100000005000 0100022780001648   
