00AG               20161121                                                                                   
0601AGA1N       20170101000510100000005000 0100002760000540   
0601AGA1N       20170101000515100000005000 0100002840000550   
0601AGA1N       20170101000520100000005000 0100002870000550   
0601AGA1N       20170101000525100000005000 0100002950000560   
0601AGA1N       20170101000530100000005000 0100003030000570   
0601AGA1N       20170101000535100000005000 0100003060000570   
0601AGA1N       20170101000540100000005000 0100003140000580   
0601AGA1N       20170101000545100000005000 0100003230000590   
0601AGA1N       20170101000550100000005000 0100003310000600   
0601AGA1N       20170101000555100000005000 0100003400000610   
0601AGA1N       20170101000560100000005000 0100003480000620   
0601AGA1N       20170101000565100000005000 0100003570000630   
0601AGA1N       20170101000570100000005000 0100003660000640   
0601AGA1N       20170101000575100000005000 0100003750000650   
0601AGA1N       20170101000580100000005000 0100003840000660   
0601AGA1N       20170101000585100000005000 0100003930000670   
0601AGA1N       20170101000590100000005000 0100004020000680   
0601AGA1N       20170101000595100000005000 0100004060000680   
0601AGA1N       20170101000600100000005000 0100004150000690   
0601AGA1N       20170101000605100000005000 0100004250000700   
0601AGA1N       20170101000610100000005000 0100004340000710   
0601AGA1N       20170101000615100000005000 0100004440000720   
0601AGA1N       20170101000620100000005000 0100004540000730   
0601AGA1N       20170101000625100000005000 0100004580000730   
0601AGA1N       20170101000630100000005000 0100004680000740   
0601AGA1N       20170101000635100000005000 0100004780000750   
0601AGA1N       20170101000640100000005000 0100004880000760   
0601AGA1N       20170101000645100000005000 0100004980000770   
0601AGA1N       20170101000650100000005000 0100005080000780   
0601AGA1N       20170101000655100000005000 0100005120000780   
0601AGA1N       20170101000660100000005000 0100005230000790   
0601AGA1N       20170101000665100000005000 0100005340000800   
0601AGA1N       20170101000670100000005000 0100005440000810   
0601AGA1N       20170101000675100000005000 0100005480000810   
0601AGA1N       20170101000680100000005000 0100005590000820   
0601AGA1N       20170101000685100000005000 0100005700000830   
0601AGA1N       20170101000690100000005000 0100005810000840   
0601AGA1N       20170101000695100000005000 0100005850000840   
0601AGA1N       20170101000700100000005000 0100005970000850   
0601AGA1N       20170101000705100000005000 0100006080000860   
0601AGA1N       20170101000710100000005000 0100006120000860   
0601AGA1N       20170101000715100000005000 0100006240000870   
0601AGA1N       20170101000720100000005000 0100006350000880   
0601AGA1N       20170101000725100000005000 0100006470000890   
0601AGA1N       20170101000730100000005000 0100006510000890   
0601AGA1N       20170101000735100000005000 0100006630000900   
0601AGA1N       20170101000740100000005000 0100006680000900   
0601AGA1N       20170101000745100000005000 0100006800000910   
0601AGA1N       20170101000750100000005000 0100006920000920   
0601AGA1N       20170101000755100000005000 0100007040000930   
0601AGA1N       20170101000760100000005000 0100007090000930   
0601AGA1N       20170101000765100000005000 0100007210000940   
0601AGA1N       20170101000770100000005000 0100007330000950   
0601AGA1N       20170101000775100000005000 0100007380000950   
0601AGA1N       20170101000780100000005000 0100007510000960   
0601AGA1N       20170101000785100000005000 0100007560000960   
0601AGA1N       20170101000790100000005000 0100007680000970   
0601AGA1N       20170101000795100000005000 0100007810000980   
0601AGA1N       20170101000800100000005000 0100007860000980   
0601AGA1N       20170101000805100000005000 0100007990000990   
0601AGA1N       20170101000810100000005000 0100008120001000   
0601AGA1N       20170101000815100000005000 0100008170001000   
0601AGA1N       20170101000820100000005000 0100008300001010   
0601AGA1N       20170101000825100000005000 0100008350001010   
0601AGA1N       20170101000830100000005000 0100008490001020   
0601AGA1N       20170101000835100000005000 0100008540001020   
0601AGA1N       20170101000840100000005000 0100008670001030   
0601AGA1N       20170101000845100000005000 0100008810001040   
0601AGA1N       20170101000850100000005000 0100008860001040   
0601AGA1N       20170101000855100000005000 0100009000001050   
0601AGA1N       20170101000860100000005000 0100009140001060   
0601AGA1N       20170101000865100000005000 0100009190001060   
0601AGA1N       20170101000870100000005000 0100009330001070   
0601AGA1N       20170101000875100000005000 0100009470001080   
0601AGA1N       20170101000880100000005000 0100009610001090   
0601AGA1N       20170101000885100000005000 0100009670001090   
0601AGA1N       20170101000890100000005000 0100009810001100   
0601AGA1N       20170101000895100000005000 0100009870001100   
0601AGA1N       20170101000900100000005000 0100010010001110   
0601AGA1N       20170101000905100000005000 0100010160001120   
0601AGA1N       20170101000910100000005000 0100010220001120   
0601AGA1N       20170101000915100000005000 0100010360001130   
0601AGA1N       20170101000920100000005000 0100010510001140   
0601AGA1N       20170101000925100000005000 0100010570001140   
0601AGA1N       20170101000930100000005000 0100010720001150   
0601AGA1N       20170101000935100000005000 0100010870001160   
0601AGA1N       20170101000940100000005000 0100010930001160   
0601AGA1N       20170101000945100000005000 0100011080001170   
0601AGA1N       20170101000950100000005000 0100011230001180   
0601AGA1N       20170101000955100000005000 0100011290001180   
0601AGA1N       20170101000960100000005000 0100011450001190   
0601AGA1N       20170101000965100000005000 0100011510001190   
0601AGA1N       20170101000970100000005000 0100011670001200   
0601AGA1N       20170101000975100000005000 0100011820001210   
0601AGA1N       20170101000980100000005000 0100011880001210   
0601AGA1N       20170101000985100000005000 0100012040001220   
0601AGA1N       20170101000990100000005000 0100012100001220   
0601AGA1N       20170101000995100000005000 0100012260001230   
